"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
25	0.89333277885785	18	18	"Churn"	0
26	0.888863995220416	16	18	"Churn"	0
27	0.92460252513444	15	18	"Churn"	0
28	0.902976025498891	16	18	"Churn"	0
29	0.908338249754179	16	18	"Churn"	0
30	0.955065772830761	16	18	"Churn"	0
1	0.945226311428945	18	19	"Churn"	0
2	0.92563473092577	16	19	"Churn"	0
3	0.933167793744717	15	19	"Churn"	0
4	0.915514862824718	16	19	"Churn"	0
5	0.882372126224585	14	19	"Churn"	0
6	0.917452167002873	14	19	"Churn"	0
7	0.893590394885202	17	19	"Churn"	0
8	0.906019176136364	19	19	"Churn"	0
9	0.881155303030303	19	19	"Churn"	0
10	0.884337591538858	16	19	"Churn"	0
11	0.899381801399145	17	19	"Churn"	0
12	0.918478325610206	18	19	"Churn"	0
13	0.885872106616788	16	19	"Churn"	0
14	0.884855956082394	16	19	"Churn"	0
15	0.916793610276257	17	19	"Churn"	0
16	0.903645284795619	16	19	"Churn"	0
17	0.893126539408867	16	19	"Churn"	0
18	0.923924867189476	16	19	"Churn"	0
19	0.918887242518461	19	19	"Churn"	0
20	0.905810754795192	19	19	"Churn"	0
21	0.891753774680604	17	19	"Churn"	0
22	0.905231380641217	16	19	"Churn"	0
23	0.894187973484848	16	19	"Churn"	0
24	0.911630392537893	16	19	"Churn"	0
25	0.916163589015151	15	19	"Churn"	0
26	0.897007446095211	17	19	"Churn"	0
27	0.885970990391722	18	19	"Churn"	0
28	0.904535889642273	18	19	"Churn"	0
29	0.91173135375263	16	19	"Churn"	0
30	0.89130291005291	17	19	"Churn"	0
1	0.892194326620556	17	20	"Churn"	0
2	0.930808947795654	17	20	"Churn"	0
3	0.90212548614188	18	20	"Churn"	0
4	0.918590198863636	16	20	"Churn"	0
5	0.916069758282873	17	20	"Churn"	0
6	0.946275599198915	15	20	"Churn"	0
7	0.914628586752481	19	20	"Churn"	0
8	0.914916318994869	16	20	"Churn"	0
9	0.907924836601307	16	20	"Churn"	0
10	0.941935962389885	17	20	"Churn"	0
11	0.918472369471214	17	20	"Churn"	0
12	0.898193153000845	17	20	"Churn"	0
13	0.926704895320197	18	20	"Churn"	0
14	0.925002602946535	18	20	"Churn"	0
15	0.86808462367421	19	20	"Churn"	0
16	0.923540343622311	14	20	"Churn"	0
17	0.904409978624174	16	20	"Churn"	0
18	0.90997959762738	17	20	"Churn"	0
19	0.878201941287879	16	20	"Churn"	0
20	0.931267275529571	18	20	"Churn"	0
21	0.895610978666178	18	20	"Churn"	0
22	0.863734539969834	17	20	"Churn"	0
23	0.921557711071572	17	20	"Churn"	0
24	0.913111244427192	19	20	"Churn"	0
25	0.848749783757169	16	20	"Churn"	0
26	0.927385571300045	17	20	"Churn"	0
27	0.918182831661092	15	20	"Churn"	0
28	0.898300923832289	14	20	"Churn"	0
29	0.917864022072987	16	20	"Churn"	0
30	0.920124648419592	15	20	"Churn"	0
1	0.879776772247361	17	21	"Churn"	0
2	0.902483208055428	18	21	"Churn"	0
3	0.921873324835908	18	21	"Churn"	0
4	0.892311789772727	18	21	"Churn"	0
5	0.8919921875	16	21	"Churn"	0
6	0.880510179924242	19	21	"Churn"	0
7	0.91505981609379	17	21	"Churn"	0
8	0.903946369845687	18	21	"Churn"	0
9	0.907625830601299	17	21	"Churn"	0
10	0.895488658706181	15	21	"Churn"	0
11	0.910371049715312	18	21	"Churn"	0
12	0.918937294745484	16	21	"Churn"	0
13	0.898398435112171	18	21	"Churn"	0
14	0.883126618508927	18	21	"Churn"	0
15	0.890844039681249	16	21	"Churn"	0
16	0.884530920060332	16	21	"Churn"	0
17	0.858190739341073	17	21	"Churn"	0
18	0.896430479984454	17	21	"Churn"	0
19	0.905278118741521	16	21	"Churn"	0
20	0.918903364533266	15	21	"Churn"	0
